paper_id,title,publication_year,abstract_available,scope_ml_sound_separation,heart_lung_or_cardiopulmonary_focus,public_dataset_mentioned,python_or_reproducible_method_mentioned,disease_detection_only,include_title_abstract,exclusion_reason_id,screened_by,screened_date,notes,utility_level,download_priority,useful_for,reason_for_decision,year_eligibility,previous_title_abstract_decision_before_year_rule
P011,Recent Advances in PCG Signal Analysis using AI: A Review,2024,Yes,Partial,Yes,Yes/Discussed,Partial/Unclear,No,Yes,,Codex local PDF audit,2026-05-07,PCG background and datasets Year eligibility: within 2022-2026 review range.,,,,,Eligible: 2022-2026,
P012,Streamlining Heart Failure Patient Care with Machine Learning of Thoracic Cavity Sound Data,2025,Yes,Partial,Yes,Unclear,Partial/Unclear,Yes,No,E03,Codex local PDF audit,2026-05-07,Disease-focused review outside separation scope Year eligibility: within 2022-2026 review range.,,,,,Eligible: 2022-2026,
P013,Research on Heart and Lung Sound Separation Method Based on DAE-NMF-VMD,2024,Yes,Yes,Yes,No/Unclear,Partial/Unclear,No,Yes,,Codex local PDF audit,2026-05-07,Direct heart-lung sound separation Year eligibility: within 2022-2026 review range.,,,,,Eligible: 2022-2026,
P014,Feature-Based Fusion Using CNN for Lung and Heart Sound Classification,2022,Yes,Partial,Yes,Yes,Partial/Unclear,No,Yes,,Codex local PDF audit,2026-05-07,Dataset and feature extraction background Year eligibility: within 2022-2026 review range.,,,,,Eligible: 2022-2026,
P015,Unsupervised Framework for Single Channel Heart and Lung Sounds Separation in Data Constrained Environments,2024,Yes,Yes,Yes,Unclear,Partial/Unclear,No,Yes,,Codex local PDF audit,2026-05-07,Direct heart-lung sound separation Year eligibility: within 2022-2026 review range.,,,,,Eligible: 2022-2026,
P016,A Multi-Channel UNet Framework Based on SNMF-DCNN for Robust Heart-Lung-Sound Separation,2023,Yes,Yes,Yes,Unclear,Partial/Unclear,No,Yes,,Codex local PDF audit,2026-05-07,Direct heart-lung sound separation Year eligibility: within 2022-2026 review range.,,,,,Eligible: 2022-2026,
P017,Heart-Lung Sound Separation by Nonnegative Matrix Factorization and Deep Learning,2023,Yes,Yes,Yes,Unclear,Partial/Unclear,No,Yes,,Codex local PDF audit,2026-05-07,Direct heart-lung sound separation Year eligibility: within 2022-2026 review range.,,,,,Eligible: 2022-2026,
P018,JASSNet: Heart and Lung Sound Separation Network Based on Joint Attention Mechanism and Semi-Supervised Learning,2025,Yes,Yes,Yes,Unclear,Partial/Unclear,No,Yes,,Codex local PDF audit,2026-05-07,Direct cardiopulmonary sound separation Year eligibility: within 2022-2026 review range.,,,,,Eligible: 2022-2026,
P019,Deep Learning in Heart Sound Analysis: From Techniques to Clinical Applications,2024,Yes,Partial,Yes,Yes/Discussed,Partial/Unclear,No,Yes,,Codex local PDF audit,2026-05-07,Heart sound dataset and DL background Year eligibility: within 2022-2026 review range.,,,,,Eligible: 2022-2026,
P020,Separation of Cardiopulmonary Sound Signals for Classification of Respiratory Diseases,2024,Yes,Yes,Yes,No/Unclear,Partial/Unclear,No,Yes,,Codex local PDF audit,2026-05-07,Direct cardiopulmonary separation with classification downstream Year eligibility: within 2022-2026 review range.,,,,,Eligible: 2022-2026,
P021,Reprogramming Automatic Speech Recognition Models for Neonatal Chest Sound Separation.,2026,Yes,Yes,Yes,Yes,Partial/Unclear,No,Yes,,Codex Phase 4 metadata verification,2026-05-10,Priority 1; Directly useful; Highly relevant 2026 neonatal chest sound separation paper using ASR/Whisper reprogramming; download first for modern ML method comparison. Year eligibility: within 2022-2026 review range.,Directly useful,1,background; related work; model/method; evaluation metrics; research gap; software/prototype relevance,Highly relevant 2026 neonatal chest sound separation paper using ASR/Whisper reprogramming; download first for modern ML method comparison.,Eligible: 2022-2026,
P022,A Phase-Enhanced Neural Network With Dual-Path Transformer for Single-Channel Chest Sound Separation.,2025,Yes,Yes,Yes,Unclear,Partial/Unclear,No,Yes,,Codex Phase 4 metadata verification,2026-05-10,Priority 1; Directly useful; Highly relevant single-channel chest sound separation paper with phase-aware neural network and transformer components; download first. Year eligibility: within 2022-2026 review range.,Directly useful,1,related work; model/method; evaluation metrics; research gap,Highly relevant single-channel chest sound separation paper with phase-aware neural network and transformer components; download first.,Eligible: 2022-2026,
P023,Large Language Model-based Nonnegative Matrix Factorization For Cardiorespiratory Sound Separation,2025,Yes,Yes,Yes,Yes,Partial/Unclear,No,Yes,,Codex Phase 4 metadata verification,2026-05-10,Priority 1; Directly useful; Direct cardiorespiratory sound separation using LLM-guided NMF; useful as a recent hybrid AI/source-separation candidate. Year eligibility: within 2022-2026 review range.,Directly useful,1,related work; model/method; evaluation metrics; research gap,Direct cardiorespiratory sound separation using LLM-guided NMF; useful as a recent hybrid AI/source-separation candidate.,Eligible: 2022-2026,
P024,Semi-Supervised Learning-Based End-to-End Network for Single-Channel Cardiopulmonary Sound Separation,2024,No,Yes,Yes,Unclear,Partial/Unclear,No,Yes,,Codex manual access update,2026-05-11,Priority 1; Directly useful; Title directly matches single-channel cardiopulmonary sound separation with semi-supervised end-to-end learning; metadata should be verified by PDF. Year eligibility: within 2022-2026 review range. Passed title/abstract relevance but excluded at full-text access stage: Full text unavailable: SSRN paper removed or under review.,Directly useful,1,related work; model/method; research gap,Title directly matches single-channel cardiopulmonary sound separation with semi-supervised end-to-end learning; metadata should be verified by PDF.,Eligible: 2022-2026,
P025,A New Non-Negative Matrix Factorization Approach for Blind Source Separation of Cardiovascular and Respiratory Sound Based on the Periodicity of Heart and Lung Function,2023,Yes,Yes,Yes,Unclear,Partial/Unclear,No,Yes,,Codex Phase 4 metadata verification,2026-05-10,Priority 1; Directly useful; Direct cardiovascular and respiratory sound blind source separation with NMF and periodicity constraints; download first. Year eligibility: within 2022-2026 review range.,Directly useful,1,background; related work; preprocessing; model/method; evaluation metrics,Direct cardiovascular and respiratory sound blind source separation with NMF and periodicity constraints; download first.,Eligible: 2022-2026,
P026,Embedded Platform-Based Heart-Lung Sound Separation Using Variational Mode Decomposition,2023,No,Yes,Yes,Unclear,No,No,Yes,,Codex manual access update,2026-05-11,Priority 1; Directly useful; Direct heart-lung separation using VMD on embedded platform; useful for practical prototype and baseline discussion. Year eligibility: within 2022-2026 review range. Passed title/abstract relevance but excluded at full-text access stage: Full text unavailable through university access.,Directly useful,1,related work; preprocessing; model/method; software/prototype relevance,Direct heart-lung separation using VMD on embedded platform; useful for practical prototype and baseline discussion.,Eligible: 2022-2026,
P027,HEART SOUND NOISE SEPARATION FROM LUNG SOUND BASED ON ENHANCED VARIATIONAL MODE DECOMPOSITION FOR DIAGNOSING PULMONARY DISEASES,2023,Yes,Yes,Yes,Unclear,Partial/Unclear,No,Yes,,Codex manual access update,2026-05-11,"Priority 1; Directly useful; Direct removal of heart sound interference from lung sounds with enhanced VMD and multiple metrics; disease framing is secondary to separation method. Year eligibility: within 2022-2026 review range. Free online reading available, but PDF download unavailable. Keep only if useful for enhanced VMD-based heart/lung sound separation methodology.",Directly useful,1,preprocessing; model/method; evaluation metrics; related work,Direct removal of heart sound interference from lung sounds with enhanced VMD and multiple metrics; disease framing is secondary to separation method.,Eligible: 2022-2026,
P028,Monaural cardiopulmonary sound separation via complex-valued deep autoencoder and cyclostationarity,2023,Yes,Yes,Yes,Unclear,Partial/Unclear,No,Yes,,Codex manual access update,2026-05-11,Priority 1; Directly useful; Direct monaural cardiopulmonary separation with complex-valued deep autoencoder and cyclostationarity; download first. Year eligibility: within 2022-2026 review range. Passed title/abstract relevance but excluded at full-text access stage: Full text unavailable through university access - IOP Science.,Directly useful,1,related work; model/method; evaluation metrics; research gap,Direct monaural cardiopulmonary separation with complex-valued deep autoencoder and cyclostationarity; download first.,Eligible: 2022-2026,
P029,Separation of Heart and Lung Sounds by A Deep Network-Based Model,2023,Yes,Yes,Yes,Yes,Partial/Unclear,No,Yes,,Codex Phase 4 metadata verification,2026-05-10,Priority 1; Directly useful; Direct deep-network heart and lung sound separation with public-source data mentioned in abstract; download first. Year eligibility: within 2022-2026 review range.,Directly useful,1,related work; dataset; model/method; software/prototype relevance,Direct deep-network heart and lung sound separation with public-source data mentioned in abstract; download first.,Eligible: 2022-2026,
P030,Real Time Lung Sound Separation from Cardiac Sounds by Adaptive Algorithm Technique,2022,No,Yes,Yes,Unclear,Partial/Unclear,No,Yes,,Codex Phase 4 metadata verification,2026-05-10,"Priority 2; Directly useful; Direct real-time lung/cardiac sound separation baseline, but metadata is sparse and venue needs verification; useful backup. Year eligibility: within 2022-2026 review range.",Directly useful,2,related work; preprocessing; model/method; software/prototype relevance,"Direct real-time lung/cardiac sound separation baseline, but metadata is sparse and venue needs verification; useful backup.",Eligible: 2022-2026,
P031,A New Non-Negative Matrix Co-Factorisation Approach for Noisy Neonatal Chest Sound Separation.,2021,Yes,Partial,Yes,Unclear,Partial/Unclear,No,No,E15,Codex year range update,2026-05-10,Priority 3; Indirectly useful; Closely related precursor to already audited Grooby neonatal chest sound work; download only if Chapter 2 needs method history beyond the audited journal paper. Year rule applied on 2026-05-10: Outside publication year range: before 2022. Previous title/abstract decision: Yes.,Indirectly useful,3,background; related work; model/method,Closely related precursor to already audited Grooby neonatal chest sound work; download only if Chapter 2 needs method history beyond the audited journal paper.,Excluded: before 2022,Yes
P032,Reverberant blind separation of heart and lung sounds using nonnegative matrix factorization and auxiliary function technique,2021,No,Yes,Yes,Unclear,No,No,No,E15,Codex year range update,2026-05-10,Priority 2; Directly useful; Direct blind heart/lung separation using NMF and auxiliary-function technique; useful backup for traditional source-separation methods. Year rule applied on 2026-05-10: Outside publication year range: before 2022. Previous title/abstract decision: Yes.,Directly useful,2,related work; preprocessing; model/method; evaluation metrics,Direct blind heart/lung separation using NMF and auxiliary-function technique; useful backup for traditional source-separation methods.,Excluded: before 2022,Yes
P033,Blind Monaural Source Separation on Heart and Lung Sounds Based on Periodic-Coded Deep Autoencoder,2020,Yes,Yes,Yes,Yes,Partial/Unclear,No,No,E15,Codex year range update,2026-05-10,Priority 1; Directly useful; Strong directly relevant unsupervised periodicity-coded deep autoencoder paper for mixed heart-lung sounds; download first. Year rule applied on 2026-05-10: Outside publication year range: before 2022. Previous title/abstract decision: Yes.,Directly useful,1,background; related work; model/method; evaluation metrics; research gap,Strong directly relevant unsupervised periodicity-coded deep autoencoder paper for mixed heart-lung sounds; download first.,Excluded: before 2022,Yes
P034,Hybrid Nelder-Mead search based optimal Least Mean Square algorithms for heart and lung sound separation,2017,Yes,Yes,Yes,Unclear,Partial/Unclear,No,No,E15,Codex year range update,2026-05-10,Priority 2; Directly useful; Direct LMS/adaptive-noise-cancellation heart-lung separation baseline; useful backup for traditional methods. Year rule applied on 2026-05-10: Outside publication year range: before 2022. Previous title/abstract decision: Yes.,Directly useful,2,preprocessing; model/method; evaluation metrics; related work,Direct LMS/adaptive-noise-cancellation heart-lung separation baseline; useful backup for traditional methods.,Excluded: before 2022,Yes
P035,An efficient lung sound separation algorithm base on GIHO-VMD.,2026,Yes,Yes,Yes,Unclear,Partial/Unclear,No,Yes,,Codex Phase 4 metadata verification,2026-05-10,Priority 1; Directly useful; Recent lung sound separation from heart/noise interference using optimized VMD; download first for modern signal-processing baseline. Year eligibility: within 2022-2026 review range.,Directly useful,1,preprocessing; model/method; evaluation metrics; related work,Recent lung sound separation from heart/noise interference using optimized VMD; download first for modern signal-processing baseline.,Eligible: 2022-2026,
P036,ASIC – Based Lung Sound Separation: Performance Analysis of Adaptive Line Enhancer with Least Mean Square Algorithm Across Scaled CMOS Technologies,2025,Yes,Partial,Yes,Unclear,Partial/Unclear,No,Yes,,Codex Phase 4 metadata verification,2026-05-10,Priority 3; Indirectly useful; Direct lung sound separation but mainly ASIC/hardware implementation; low priority for a Python software prototype. Year eligibility: within 2022-2026 review range.,Indirectly useful,3,software/prototype relevance; preprocessing; model/method,Direct lung sound separation but mainly ASIC/hardware implementation; low priority for a Python software prototype.,Eligible: 2022-2026,
P037,Identifying the Respiratory Sound Based on Single-Channel Separation and Hyperdimensional Computing,2025,Yes,Yes,Yes,Unclear,Partial/Unclear,No,Yes,,Codex Phase 4 metadata verification,2026-05-10,Priority 2; Directly useful; Single-channel respiratory sound separation with hyperdimensional computing; useful backup for alternative biomedical audio separation. Year eligibility: within 2022-2026 review range.,Directly useful,2,related work; model/method; feature extraction; software/prototype relevance,Single-channel respiratory sound separation with hyperdimensional computing; useful backup for alternative biomedical audio separation.,Eligible: 2022-2026,
P038,Manikin-Recorded Cardiopulmonary Sounds Dataset Using Digital Stethoscope,2024,Yes,Yes,Yes,Yes,Partial/Unclear,No,Yes,,Codex Phase 4 metadata verification,2026-05-10,Priority 1; Directly useful; Direct cardiopulmonary sound dataset paper; high priority because the FYP needs public/reusable datasets. Year eligibility: within 2022-2026 review range.,Directly useful,1,dataset; background; software/prototype relevance; research gap,Direct cardiopulmonary sound dataset paper; high priority because the FYP needs public/reusable datasets.,Eligible: 2022-2026,
P039,Automatic Wheeze Segmentation Using Harmonic-Percussive Source Separation and Empirical Mode Decomposition,2023,Yes,Partial,Yes,Yes,Partial/Unclear,No,Yes,,Codex Phase 4 metadata verification,2026-05-10,"Priority 2; Indirectly useful; Wheeze segmentation with harmonic-percussive source separation and EMD; useful background for respiratory sound preprocessing, not primary heart-lung separation. Year eligibility: within 2022-2026 review range.",Indirectly useful,2,preprocessing; feature extraction; model/method; evaluation metrics,"Wheeze segmentation with harmonic-percussive source separation and EMD; useful background for respiratory sound preprocessing, not primary heart-lung separation.",Eligible: 2022-2026,
P040,A Blind Filtering Framework for Noisy Neonatal Chest Sounds,2022,Yes,Yes,Yes,Unclear,Partial/Unclear,No,Yes,,Codex Phase 4 metadata verification,2026-05-10,Priority 1; Directly useful; Noisy neonatal chest sound filtering/separation paper; high relevance to neonatal chest sound separation lineage. Year eligibility: within 2022-2026 review range.,Directly useful,1,background; related work; preprocessing; model/method; evaluation metrics,Noisy neonatal chest sound filtering/separation paper; high relevance to neonatal chest sound separation lineage.,Eligible: 2022-2026,
P041,Cardiopulmonary Sound Sources Separation Separación de fuentes de sonido cardiopulmonar,2021,Yes,Yes,Yes,Unclear,Partial/Unclear,No,No,E15,Codex year range update,2026-05-10,Priority 2; Directly useful; Direct cardiopulmonary sound source-separation title; priority 2 because metadata is limited and should be verified before relying on it. Year rule applied on 2026-05-10: Outside publication year range: before 2022. Previous title/abstract decision: Yes.,Directly useful,2,related work; model/method; background,Direct cardiopulmonary sound source-separation title; priority 2 because metadata is limited and should be verified before relying on it.,Excluded: before 2022,Yes
P042,Parallel source separation system for heart and lung sounds,2021,No,Yes,Yes,Unclear,No,No,No,E15,Codex year range update,2026-05-10,Priority 2; Directly useful; Direct parallel source separation system for heart/lung sounds; useful backup for implementation-oriented discussion. Year rule applied on 2026-05-10: Outside publication year range: before 2022. Previous title/abstract decision: Yes.,Directly useful,2,related work; model/method; software/prototype relevance,Direct parallel source separation system for heart/lung sounds; useful backup for implementation-oriented discussion.,Excluded: before 2022,Yes
P043,Source separation from single-channel abdominal phonocardiographic signals based on independent component analysis,2021,Yes,Partial,Yes,Unclear,Partial/Unclear,No,No,E15,Codex year range update,2026-05-10,"Priority 3; Indirectly useful; Biomedical source separation from abdominal phonocardiography, but not heart-lung cardiopulmonary separation; low priority. Year rule applied on 2026-05-10: Outside publication year range: before 2022. Previous title/abstract decision: Yes.",Indirectly useful,3,background; model/method,"Biomedical source separation from abdominal phonocardiography, but not heart-lung cardiopulmonary separation; low priority.",Excluded: before 2022,Yes
P044,Least Mean Square (LMS) based neural design and metric evaluation for auscultation signal separation,2020,No,Yes,Yes,Unclear,Partial/Unclear,No,No,E15,Codex year range update,2026-05-10,Priority 2; Directly useful; Auscultation signal separation with LMS neural design and metric evaluation; useful as a baseline/methods paper. Year rule applied on 2026-05-10: Outside publication year range: before 2022. Previous title/abstract decision: Yes.,Directly useful,2,preprocessing; evaluation metrics; model/method; software/prototype relevance,Auscultation signal separation with LMS neural design and metric evaluation; useful as a baseline/methods paper.,Excluded: before 2022,Yes
P045,Wheezing Sound Separation Based on Informed Inter-Segment Non-Negative Matrix Partial Co-Factorization,2020,Yes,Partial,Yes,Unclear,Partial/Unclear,No,No,E15,Codex year range update,2026-05-10,Priority 2; Indirectly useful; Wheezing sound separation with NMF co-factorization; relevant respiratory source-separation background but not heart-lung separation. Year rule applied on 2026-05-10: Outside publication year range: before 2022. Previous title/abstract decision: Yes.,Indirectly useful,2,preprocessing; feature extraction; model/method; evaluation metrics,Wheezing sound separation with NMF co-factorization; relevant respiratory source-separation background but not heart-lung separation.,Excluded: before 2022,Yes
P046,Cardiopulmonary Sounds Separation Method with Label Constraint,2019,Yes,Yes,Yes,Unclear,Partial/Unclear,No,No,E15,Codex year range update,2026-05-10,Priority 2; Directly useful; Direct cardiopulmonary sound separation with label constraint; useful backup pending PDF verification. Year rule applied on 2026-05-10: Outside publication year range: before 2022. Previous title/abstract decision: Yes.,Directly useful,2,related work; model/method; research gap,Direct cardiopulmonary sound separation with label constraint; useful backup pending PDF verification.,Excluded: before 2022,Yes
P047,Mathematical morphology approach for single-channel processing of auscultative sound,2019,Yes,Partial,Yes,Unclear,Partial/Unclear,No,No,E15,Codex year range update,2026-05-10,"Priority 2; Indirectly useful; Single-channel auscultative sound processing with mathematical morphology; useful preprocessing background, not a primary ML separation paper. Year rule applied on 2026-05-10: Outside publication year range: before 2022. Previous title/abstract decision: Yes.",Indirectly useful,2,preprocessing; feature extraction; model/method,"Single-channel auscultative sound processing with mathematical morphology; useful preprocessing background, not a primary ML separation paper.",Excluded: before 2022,Yes
P048,Separation of Cardiopulmonary Acoustic Indicators,2019,Yes,Yes,Yes,Unclear,Partial/Unclear,No,No,E15,Codex year range update,2026-05-10,"Priority 2; Directly useful; Direct cardiopulmonary acoustic indicator separation title; useful backup, but metadata detail is limited. Year rule applied on 2026-05-10: Outside publication year range: before 2022. Previous title/abstract decision: Yes.",Directly useful,2,related work; model/method; background,"Direct cardiopulmonary acoustic indicator separation title; useful backup, but metadata detail is limited.",Excluded: before 2022,Yes
P049,A Review on Separation of Heart Sounds From Lung Sounds with LMS & NLMS Adaptive Line Enhancer Implementation using TMS320C6713 DSK,2018,No,Partial,Yes,Unclear,Partial/Unclear,No,No,E15,Codex year range update,2026-05-10,Priority 3; Indirectly useful; Review of LMS/NLMS heart-from-lung separation implementation; useful only for background and older baseline context. Year rule applied on 2026-05-10: Outside publication year range: before 2022. Previous title/abstract decision: Yes.,Indirectly useful,3,background; preprocessing; model/method,Review of LMS/NLMS heart-from-lung separation implementation; useful only for background and older baseline context.,Excluded: before 2022,Yes
P050,Performance of Adaptive Noise Cancellation with Normalized Last-Mean-Square Based on the Signal-to-Noise Ratio of Lung and Heart Sound Separation,2018,Yes,Yes,Yes,Unclear,No,No,No,E15,Codex year range update,2026-05-10,Priority 2; Directly useful; Direct adaptive-noise-cancellation paper using SNR for heart/lung separation; useful for baseline metrics. Year rule applied on 2026-05-10: Outside publication year range: before 2022. Previous title/abstract decision: Yes.,Directly useful,2,preprocessing; model/method; evaluation metrics,Direct adaptive-noise-cancellation paper using SNR for heart/lung separation; useful for baseline metrics.,Excluded: before 2022,Yes
P051,Wheezing Sound Separation Based on Constrained Non-Negative Matrix Factorization,2018,Yes,Partial,Yes,Unclear,Partial/Unclear,No,No,E15,Codex year range update,2026-05-10,"Priority 2; Indirectly useful; Wheezing sound separation with constrained NMF; useful respiratory separation background, not primary cardiopulmonary separation. Year rule applied on 2026-05-10: Outside publication year range: before 2022. Previous title/abstract decision: Yes.",Indirectly useful,2,preprocessing; feature extraction; model/method,"Wheezing sound separation with constrained NMF; useful respiratory separation background, not primary cardiopulmonary separation.",Excluded: before 2022,Yes
P052,A novel acoustic catheter stethoscope based acquisition and signal processing framework to extract multiple bio signals.,2017,Yes,Partial,Yes,Unclear,Partial/Unclear,No,No,E15,Codex year range update,2026-05-10,"Priority 3; Weak; Acoustic catheter/stethoscope acquisition framework may inform signal acquisition, but it is hardware-heavy and not central to ML separation. Year rule applied on 2026-05-10: Outside publication year range: before 2022. Previous title/abstract decision: Yes.",Weak,3,background; software/prototype relevance,"Acoustic catheter/stethoscope acquisition framework may inform signal acquisition, but it is hardware-heavy and not central to ML separation.",Excluded: before 2022,Yes
P053,Blind signal separation for heart sound and lung sound from auscultatory sound based on the high order statistics,2017,Yes,Yes,Yes,Unclear,Partial/Unclear,No,No,E15,Codex year range update,2026-05-10,Priority 2; Directly useful; Direct blind signal separation for heart and lung sounds using high-order statistics; useful traditional baseline. Year rule applied on 2026-05-10: Outside publication year range: before 2022. Previous title/abstract decision: Yes.,Directly useful,2,related work; model/method; background,Direct blind signal separation for heart and lung sounds using high-order statistics; useful traditional baseline.,Excluded: before 2022,Yes
P054,Cluster analysis framework for novel acoustic catheter stethoscope,2017,Yes,Partial,Yes,Unclear,Partial/Unclear,No,No,E15,Codex year range update,2026-05-10,Priority 3; Weak; Cluster-analysis/acoustic-catheter work is peripheral and hardware-oriented; low priority. Year rule applied on 2026-05-10: Outside publication year range: before 2022. Previous title/abstract decision: Yes.,Weak,3,background; software/prototype relevance,Cluster-analysis/acoustic-catheter work is peripheral and hardware-oriented; low priority.,Excluded: before 2022,Yes
P055,Heart sound and lung sound separation algorithms: a review,2017,Yes,Partial,Yes,Unclear,Partial/Unclear,No,No,E15,Codex year range update,2026-05-10,Priority 2; Indirectly useful; Direct review of heart/lung separation algorithms; useful for Chapter 2 background but not a primary method paper. Year rule applied on 2026-05-10: Outside publication year range: before 2022. Previous title/abstract decision: Yes.,Indirectly useful,2,background; related work; research gap,Direct review of heart/lung separation algorithms; useful for Chapter 2 background but not a primary method paper.,Excluded: before 2022,Yes
P056,Single-channel mixed signal blind source separation algorithm based on multiple ICA processing,2017,Yes,Partial,Yes,Unclear,Partial/Unclear,No,No,E15,Codex year range update,2026-05-10,Priority 3; Weak; Generic single-channel blind source separation with limited cardiopulmonary detail in metadata; low priority until confirmed. Year rule applied on 2026-05-10: Outside publication year range: before 2022. Previous title/abstract decision: Yes.,Weak,3,model/method; background,Generic single-channel blind source separation with limited cardiopulmonary detail in metadata; low priority until confirmed.,Excluded: before 2022,Yes
P057,β-Divergence Nonnegative Matrix Factorization on Biomedical Blind Source Separation,2017,Yes,Partial,Yes,Unclear,Partial/Unclear,No,No,E15,Codex year range update,2026-05-10,"Priority 2; Indirectly useful; Biomedical blind source separation using beta-divergence NMF; useful method background, but not clearly heart-lung specific from metadata. Year rule applied on 2026-05-10: Outside publication year range: before 2022. Previous title/abstract decision: Yes.",Indirectly useful,2,model/method; evaluation metrics; background,"Biomedical blind source separation using beta-divergence NMF; useful method background, but not clearly heart-lung specific from metadata.",Excluded: before 2022,Yes
P058,Testing of Dhoulath's method to speed up diagnose by separating up crying sound of a baby from normal heart beats – ‘An innovative time saving technique’,2016,Yes,Partial,Yes,Unclear,Partial/Unclear,Partial,No,E15,Codex year range update,2026-05-10,Priority 3; Weak; Baby-cry versus heartbeat separation is outside the FYP heart-lung/cardiopulmonary separation scope and has weak software-prototype relevance. Year rule applied on 2026-05-10: Outside publication year range: before 2022. Previous title/abstract decision: No.,Weak,3,background,Baby-cry versus heartbeat separation is outside the FYP heart-lung/cardiopulmonary separation scope and has weak software-prototype relevance.,Excluded: before 2022,No
P059,A stethoscope with wavelet separation of cardiac and respiratory sounds for real time telemedicine implemented on field-programmable gate array,2015,Yes,Yes,Yes,Unclear,Partial/Unclear,No,No,E15,Codex year range update,2026-05-10,Priority 1; Directly useful; Direct wavelet separation of cardiac and respiratory sounds with real-time telemedicine/FPGA implementation; high prototype relevance. Year rule applied on 2026-05-10: Outside publication year range: before 2022. Previous title/abstract decision: Yes.,Directly useful,1,preprocessing; model/method; software/prototype relevance; evaluation metrics,Direct wavelet separation of cardiac and respiratory sounds with real-time telemedicine/FPGA implementation; high prototype relevance.,Excluded: before 2022,Yes
P060,Adaptive Fourier decomposition approach for lung-heart sound separation,2015,Yes,Yes,Yes,Yes,Partial/Unclear,No,No,E15,Codex year range update,2026-05-10,Priority 1; Directly useful; Direct lung-heart sound separation using adaptive Fourier decomposition and named real datasets; download first. Year rule applied on 2026-05-10: Outside publication year range: before 2022. Previous title/abstract decision: Yes.,Directly useful,1,preprocessing; model/method; dataset; evaluation metrics,Direct lung-heart sound separation using adaptive Fourier decomposition and named real datasets; download first.,Excluded: before 2022,Yes
