"Timestamp","1. What is your age group?  ","2. What best describes you?","3. How familiar are you with audio processing or signal processing?","4. Have you worked with biomedical audio before?","5. Which type of audio-related task are you most familiar with?","1. How difficult do you think it is to separate heart and lung sounds from a mixed cardiopulmonary
recording?","2. What problems do you think affect cardiopulmonary sound processing the most?","3. Do you think noisy audio recordings can reduce the quality of machine learning-based sound
processing?","4. Do you think a simple software prototype for heart-lung sound separation would be useful for students
or researchers?","1. Which feature would be most important in the proposed system?  ","2. Which output would you prefer after sound separation?","3. How important is it for the system to provide a preview of the separated heart and lung sounds?","4. How important is it for the system to allow users to download separated audio outputs?","5. How important is it for the system to show basic processing information, such as file name,
processing status, and completion time?","6. Should the system include a history page showing previously uploaded files and separation results?","1. How would you prefer the separated results to be displayed?","2. Which interface style would you prefer?","3. How important is it for the system interface to be easy for non-expert users?","4. What information should appear first after separation is completed?","5. What type of error message would be most helpful if the uploaded file is invalid?   ","1. How important is it for the system to show evaluation metrics for the separated output?","2. Which evaluation information would be most useful?","3. Would you use a prototype that separates mixed cardiopulmonary audio into heart and lung sound
outputs?","4. What improvement or feature would you like to see in a cardiopulmonary sound separation system?"
"2026/06/25 3:21:04 AM GMT+8","Under 18","AI / Machine Learning student","Not familiar","No","Audio editing","Easy","Background noise;Overlap between heart and lung sounds;Difficulty identifying useful sound components;Lack of clear output visualization","Disagree","Disagree","Preprocess noisy audio","Audio files with waveform visualization","Slightly important","Slightly important","Moderately important","Yes","Simple audio player only","Detailed interface with many technical options","Not important","Waveform or spectrogram visualization","Message explaining the problem","Moderately important","Separation accuracy score","Yes","I would like to see the integration of real-time, adaptive AI noise cancellation that can perfectly isolate heart and lung sounds even in noisy, chaotic clinical environments (like emergency rooms or ambulances). Additionally, embedding an automated anomaly detection feature that not only separates the sounds but also highlights potential murmurs or wheezing instantly would be a game-changer for fast diagnostics"
"2026/06/25 3:40:34 AM GMT+8","18-25","Software Engineering / Computer Science student","Basic","No","Audio recording","Neutral","Difficulty identifying useful sound components","Strongly disagree","Disagree","Download separated outputs","Audio files with waveform visualization","Slightly important","Slightly important","Moderately important","Yes","Audio player with spectrogram","Balanced interface with simple view and optional advanced details","Slightly important","Evaluation metrics","Short message only","Not important","Signal quality score","Yes","An important feature would be noise reduction and improved accuracy of separation between heart and lung sounds, making diagnosis clearer and more reliable"
"2026/06/25 6:45:47 PM GMT+8","Under 18","Biomedical Engineering/ Health-related student","Intermediate","Yes","Audio separation","Neutral","Overlap between heart and lung sounds;Low recording quality;Difficulty identifying useful sound components;Lack of simple software tools;Lack of clear output visualization","Disagree","Neutral","Preview separated audio","Audio files with spectrogram visualization","Moderately important","Moderately important","Moderately important","Yes","Audio player with waveform, spectrogram, and metrics","Simple interface with only main features","Not important","Audio preview players","Message explaining the problem and suggested fix","Slightly important","Noise reduction information","Yes",""
"2026/06/27 8:13:59 PM GMT+8","18-25","Software Engineering / Computer Science student","Not familiar","Yes","Audio editing","Neutral","Background noise","Disagree","Neutral","Separate heart and lung sounds","Audio files with spectrogram visualization","Slightly important","Slightly important","Moderately important","Yes","Audio player with waveform","Detailed interface with many technical options","Slightly important","Audio preview players","Short message only","Slightly important","Separation accuracy score","Yes",""
"2026/06/27 9:59:58 PM GMT+8","18-25","AI / Machine Learning student","Not familiar","No","Audio recording","Easy","Low recording quality","Neutral","Agree","Preview separated audio","Audio files with evaluation metrics","Slightly important","Slightly important","Not important","No","Simple audio player only","Detailed interface with many technical options","Moderately important","Evaluation metrics","Message explaining the problem and suggested fix","Slightly important","Separation accuracy score","Yes",""
"2026/06/30 9:21:31 PM GMT+8","18-25","Software Engineering / Computer Science student","Advanced","Yes","Machine learning model testing","Very difficult","Background noise;Overlap between heart and lung sounds;Low recording quality;Difficulty identifying useful sound components;Lack of simple software tools;Lack of clear output visualization","Agree","Agree","Separate heart and lung sounds","Audio files with spectrogram visualization","Moderately important","Very important","Very important","Yes","Audio player with waveform, spectrogram, and metrics","Detailed interface with many technical options","Very important","Waveform or spectrogram visualization","Message explaining the problem and suggested fix","Moderately important","Noise reduction information","Yes",""
"2026/06/30 9:23:08 PM GMT+8","18-25","Software Engineering / Computer Science student","Not familiar","Yes","Audio recording","Neutral","Background noise;Overlap between heart and lung sounds","Strongly Agree","Strongly Agree","Preview separated audio","Audio files with waveform visualization","Important","Moderately important","Moderately important","Yes","Audio player with waveform, spectrogram, and metrics","Balanced interface with simple view and optional advanced details","Very important","Waveform or spectrogram visualization","Message explaining the problem and suggested fix","Important","Separation accuracy score","Yes",""
"2026/06/30 9:25:32 PM GMT+8","18-25","AI / Machine Learning student","Not familiar","No","Machine learning model testing","Difficult","Overlap between heart and lung sounds;Difficulty identifying useful sound components","Agree","Agree","Separate heart and lung sounds","Audio files with waveform visualization","Important","Moderately important","Important","Yes","Audio player with waveform, spectrogram, and metrics","Balanced interface with simple view and optional advanced details","Moderately important","Processing status summary","Message explaining the problem","Important","Separation accuracy score","Yes","Not sure"
"2026/07/01 1:59:04 AM GMT+8","26-35","Graphic design ","Intermediate","No","Audio separation","Neutral","Overlap between heart and lung sounds","Strongly Agree","Disagree","Separate heart and lung sounds","All of the above","Important","Important","Very important","Yes","Audio player with waveform, spectrogram, and metrics","Detailed interface with many technical options","Important","Download buttons for heart and lung sounds","Short message only","Important","All of the above","Maybe",""
"2026/07/01 3:54:32 AM GMT+8","26-35","Biomedical Engineering/ Health-related student","Basic","No","I have not worked with audio tasks before","Neutral","Overlap between heart and lung sounds;Low recording quality","Agree","Neutral","Separate heart and lung sounds","Audio files with spectrogram visualization","Important","Moderately important","Moderately important","Not sure","Audio player with waveform, spectrogram, and metrics","Balanced interface with simple view and optional advanced details","Moderately important","Waveform or spectrogram visualization","Message explaining the problem and suggested fix","Moderately important","Processing time","Maybe","Better preservation of subtle heart murmurs and faint lung crackles.
Minimal artifacts introduced during separation."
"2026/07/01 6:25:10 AM GMT+8","18-25","AI / Machine Learning student","Basic","Yes","Audio classification","Neutral","Overlap between heart and lung sounds","Disagree","Neutral","Upload mixed cardiopulmonary audio","Heart and lung audio files only","Not important","Not important","Not important","Yes","Audio player with waveform","Simple interface with only main features","Not important","Evaluation metrics","Short message only","Not important","Signal quality score","Yes","Anything that can help the human being"
"2026/07/01 6:28:32 AM GMT+8","Under 18","AI / Machine Learning student","Basic","Yes","Audio recording","Very easy","Background noise","Disagree","Strongly disagree","Separate heart and lung sounds","Heart and lung audio files only","Not important","Not important","Slightly important","No","Simple audio player only","Detailed interface with many technical options","Slightly important","Evaluation metrics","Message explaining the problem and suggested fix","Slightly important","Noise reduction information","Yes","Anything that can help the human being"
"2026/07/01 6:30:29 AM GMT+8","Under 18","Researcher","Basic","Yes","Audio recording","Very easy","Low recording quality","Strongly disagree","Agree","Upload mixed cardiopulmonary audio","Audio files with waveform visualization","Important","Not important","Important","Yes","Audio player with spectrogram","Simple interface with only main features","Moderately important","Evaluation metrics","Short message only","Moderately important","Signal quality score","Yes","Anything that can help the human being"
"2026/07/01 6:31:58 AM GMT+8","18-25","AI / Machine Learning student","Basic","Yes","Audio classification","Very easy","Background noise","Disagree","Disagree","Upload mixed cardiopulmonary audio","Audio files with spectrogram visualization","Slightly important","Moderately important","Important","Yes","Audio player with waveform","Detailed interface with many technical options","Important","Audio preview players","Message explaining the problem and suggested fix","Important","Separation accuracy score","Yes","It's ok"
"2026/07/01 6:33:15 AM GMT+8","18-25","Biomedical Engineering/ Health-related student","Not familiar","Yes","Audio editing","Easy","Difficulty identifying useful sound components","Strongly disagree","Agree","Upload mixed cardiopulmonary audio","All of the above","Important","Important","Important","Yes","Audio player with waveform","Detailed interface with many technical options","Important","Processing status summary","Message explaining the problem and suggested fix","Not important","Noise reduction information","Yes","It's ok"
"2026/07/01 6:34:47 AM GMT+8","26-35","AI / Machine Learning student","Basic","No","Machine learning model testing","Very difficult","Lack of clear output visualization","Agree","Agree","View processing history","All of the above","Important","Important","Important","Yes","Audio player with waveform, spectrogram, and metrics","Detailed interface with many technical options","Important","Evaluation metrics","Message explaining the problem and suggested fix","Important","Processing time","Yes","It's ok"
"2026/07/01 6:37:26 AM GMT+8","18-25","Researcher","Basic","No","Audio classification","Very easy","Difficulty identifying useful sound components","Neutral","Agree","Preview separated audio","Audio files with evaluation metrics","Important","Very important","Very important","Yes","Audio player with waveform, spectrogram, and metrics","Balanced interface with simple view and optional advanced details","Important","Processing status summary","Message explaining the problem and suggested fix","Important","Processing time","Yes","It's ok"
"2026/07/01 6:38:52 AM GMT+8","18-25","AI / Machine Learning student","Intermediate","Yes","Audio separation","Very difficult","Lack of clear output visualization","Strongly disagree","Agree","Separate heart and lung sounds","Audio files with spectrogram visualization","Important","Moderately important","Important","Yes","Audio player with spectrogram","Balanced interface with simple view and optional advanced details","Very important","Processing status summary","Short message only","Important","All of the above","Maybe","Anything that can help the human being"
"2026/07/01 6:41:13 AM GMT+8","18-25","Biomedical Engineering/ Health-related student","Advanced","Yes","Audio separation","Neutral","Difficulty identifying useful sound components","Agree","Neutral","Upload mixed cardiopulmonary audio","Audio files with evaluation metrics","Important","Moderately important","Important","Yes","Audio player with waveform, spectrogram, and metrics","Detailed interface with many technical options","Important","Evaluation metrics","Message explaining the problem and suggested fix","Not important","Processing time","Yes",""
"2026/07/01 6:42:39 AM GMT+8","18-25","Researcher","Not familiar","Yes","Audio editing","Easy","Background noise","Disagree","Strongly Agree","View processing history","Audio files with evaluation metrics","Important","Important","Important","Yes","Not sure","Balanced interface with simple view and optional advanced details","Not important","Download buttons for heart and lung sounds","Short message only","Not important","Processing time","Yes",""
"2026/07/01 6:43:46 AM GMT+8","18-25","Biomedical Engineering/ Health-related student","Intermediate","Yes","Audio separation","Very difficult","Lack of simple software tools","Strongly disagree","Disagree","Preview separated audio","Audio files with evaluation metrics","Moderately important","Moderately important","Moderately important","Yes","Audio player with waveform, spectrogram, and metrics","Detailed interface with many technical options","Important","Audio preview players","Message explaining the problem and suggested fix","Important","Noise reduction information","Yes",""
"2026/07/01 6:45:18 AM GMT+8","18-25","Biomedical Engineering/ Health-related student","Intermediate","Yes","Audio recording","Very easy","Lack of simple software tools","Strongly disagree","Agree","Separate heart and lung sounds","Audio files with spectrogram visualization","Moderately important","Very important","Very important","Yes","Simple audio player only","Balanced interface with simple view and optional advanced details","Not important","Evaluation metrics","Message explaining the problem","Not important","Separation accuracy score","Yes",""
"2026/07/01 6:46:19 AM GMT+8","18-25","Researcher","Basic","Yes","Audio recording","Very easy","Difficulty identifying useful sound components","Strongly disagree","Strongly disagree","Upload mixed cardiopulmonary audio","Audio files with spectrogram visualization","Moderately important","Important","Important","Yes","Simple audio player only","Balanced interface with simple view and optional advanced details","Important","Audio preview players","Message explaining the problem and suggested fix","Not important","Noise reduction information","Yes",""
"2026/07/01 6:47:20 AM GMT+8","18-25","AI / Machine Learning student","Basic","Yes","Audio editing","Neutral","Background noise","Strongly disagree","Strongly disagree","View processing history","All of the above","Moderately important","Important","Important","Yes","Audio player with spectrogram","Detailed interface with many technical options","Moderately important","Waveform or spectrogram visualization","Message explaining the problem and suggested fix","Important","Processing time","Yes",""
"2026/07/01 6:48:23 AM GMT+8","18-25","Biomedical Engineering/ Health-related student","Basic","Yes","Audio separation","Very easy","Difficulty identifying useful sound components","Agree","Strongly disagree","Preview separated audio","Audio files with waveform visualization","Important","Important","Moderately important","Yes","Audio player with waveform, spectrogram, and metrics","Simple interface with only main features","Slightly important","Audio preview players","Message explaining the problem and suggested fix","Not important","Processing time","Yes",""
"2026/07/01 6:49:29 AM GMT+8","18-25","Researcher","Not familiar","Yes","Audio classification","Very easy","Low recording quality","Disagree","Agree","Separate heart and lung sounds","Audio files with spectrogram visualization","Important","Slightly important","Important","Yes","Audio player with waveform, spectrogram, and metrics","Balanced interface with simple view and optional advanced details","Important","Evaluation metrics","Message explaining the problem","Important","Processing time","Yes",""
"2026/07/01 6:50:27 AM GMT+8","Under 18","Researcher","Basic","Yes","Audio recording","Very easy","Low recording quality","Strongly disagree","Neutral","Preview separated audio","All of the above","Important","Moderately important","Not important","Not sure","Simple audio player only","Detailed interface with many technical options","Not important","Processing status summary","Not sure","Moderately important","All of the above","Yes",""
"2026/07/01 6:51:26 AM GMT+8","26-35","Researcher","Intermediate","Yes","Audio editing","Very difficult","Overlap between heart and lung sounds","Agree","Disagree","View evaluation results","Audio files with evaluation metrics","Very important","Important","Important","Not sure","Audio player with waveform","Detailed interface with many technical options","Important","Processing status summary","Message explaining the problem and suggested fix","Moderately important","Processing time","Yes",""
